LIBID,Year,LibraryName,Address,City,ZIP,MailingAddress,MailingCity,MailingZIP,County,Phone,DistCoop,CentralLibrary,Branches,Bookmobiles,RegisteredUsers,RegisteredUsersAdded,LibrariansALAMLS,LibrariansTotal,OtherStaff,Volunteers,VolunteerHours,FriendsGroup,Foundation,StaffPositionsFT,StaffPositionsPTUnder20,StaffPositionsPTOver20,StaffPositionsTempOnCall,RevenueCity,RevenueCounty,RevenueDistrict,RevenueState,RevenueLSTA,RevenueErate,RevenueOtherFed,RevenueOtherOperating,CaptialRevenueLocal,CapitalRevenueState,CapitalRevenueFed,CapitalRevenueOther,ExpendituresSalariesWages,ExpendituresBenefits,ExpendituresPrintMaterials,ExpendituresPeriodicals,ExpendituresElectronicMaterials,ExpendituresOtherMaterials,ExpendituresOtherOperating,ExpendituresServiceCharges,CapitalExpendituresConstruction,CapitalExpendituresEquipment,CapitalExpendituresOther,CollectionBooks,CollectionBooksAdded,CollectionPhysicalAudio,CollectionPhysicalAudioAdded,CollectionVideosPhysical,CollectionVideosPhysicalAdded,CollectionOtherMaterials,CollectionOtherMaterialsAdded,CollectionEbooksODLC,CollectionEbooksODLCAdded,CollectionEbooksLocal,CollectionEbooksLocalAdded,CollectionAudiobooksODLC,CollectionAudiobooksODLCAdded,CollectionAudiobooksLocal,CollectionAudiobooksLocalAdded,CollectionDigitalVideosODLC,CollectionDigitalVideosODLCAdded,CollectionDigitalVideosLocal,CollectionDigitalVideosLocalAdded,CollectionPhysicalSpanish,CollectionDigitalSpanish,CollectionOtherLanguages,CollectionDatabasesLocal,CollectionDatabasesLocalAdded,CollectionStatewideDatabases,CollectionStatewideDatabasesAdded,DatabaseUsageStatewide,DatabaseUsageLocal,CircAdult,CircAdultRenewals,CircYA,CircYARenewals,CircChildrens,CircChildrensRenewals,CircOtherMaterials,CircOtherMaterialsRenewals,CircNoAgeCategory,CircNoAgeCategoryRenewals,CircODLC,CircEcontentLocal,CircNetworkLoans,CircILLLoans,CircNetworkBorrows,CircILLBorrows,CircNonresidents,ReferenceTransactions,ReferenceTransactionsMethod,MeetingRoomUse,ProgramsSummerReading,ProgramsKids0-11,ProgramsKids0-11Attendance,ProgramsKids0-5,ProgramsKids0-5Attendance,ProgramsKids6-11,ProgramsKids6-11Attendance,ProgramsYA12-18,ProgramsYA12-18Attendance,ProgramsAdults,ProgramsAdultsAttendance,ProgramsGeneralInterest,ProgramsGeneralInterestAttendance,ProgramsInPersonOnsite,ProgramsInPersonOnsiteAttendance,ProgramsInPersonOffsite,ProgramsInPersonOffsiteAttendance,ProgramsVirtual,ProgramsVirtualAttendance,ProgramsRecorded,ProgramsRecordedViews,ProgramsSelfDirected,ProgramsSelfDirectedParticipants,TechPublicComputersSessions,TechPublicComputersMethod,TechPublicComputers,TechWiFiScenario,TechWiFiSessions,TechWiFiSessionsMethod,TechDownloadSpeed,TechUploadSpeed,TechSharedILS,TechILSProductName,TechWebsiteVisits,HoursWeekday,HoursWeekdayEvening,HoursWeekend,HoursWeekendEvening,WeeksOpenYear,HoursOpenYear,LibraryVisits,LibraryVisitsMethod,FacilitiesSqFtCentral,FacilitiesSqFtTotal,FacilitiesConstructionDate,FacilitiesRemodelDate,FinesAdultMaterials,FinesChildrensMaterials,FinesYAMaterials,FeesILL,FeesNonresident,SalaryDirectorHourlyLow,SalaryDirectorHourlyHigh,SalarySupervisoryLibHourlyLow,SalarySupervisoryLibHourlyHigh,SalaryLibrarianHourlyLow,SalaryLibrarianHourlyHigh,SalaryLibAssistHourlyLow,SalaryLibAssistHourlyHigh,SalaryLibClerkHourlyLow,SalaryLibClerkHourlyHigh,PopulationServed,InterlibraryRelationshipCode,LegalBasisCode,AdminStructureCode,PLSCPubLibDefinition,GeographicCode,Website
OR0040,2022,Adams Public Library,190 Main St,Adams,97810,PO Box 20,Adams,97810,Umatilla,541-566-3038,UCSLD,1,0,0,233,21,0,1,0,0,0,FALSE,FALSE,0,1,0,0,10000,0,38479,3000,0,,0,26002,0,0,0,0,30234,6300,1921,,0,0,10254,,0,0,0,3740,162,337,0,726,25,14,1,56416,8403,0,0,35057,3841,0,0,,,0,0,0,0,,0,0,22,0,0,0,341,157,261,613,892,200,16,9,614,395,302,14,347,0,498,0,0,0,N/A (we do not track reference transactions),45,TRUE,,,50,150,20,300,20,50,2,80,17,56,29,250,27,386,0,0,0,0,8,,180,Estimate,2,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),316.6,336,Sage,Evergreen,4836,25,0,0,0,51,1275,2092,Actual count,425,425,,2003,No,No,No,as charged by other library / OCLC cost,,18,18,0,0,0,0,0,0,0,0,542,ME,CI,SO,TRUE,PL2,http://www.cityofadamsoregon.com/adams-public-library.html
OR0001,2022,Agness Community Library District,03905 Cougar Ln,Agness,97406,PO Box 33,Agness,97406,Curry,541-247-6323,NONE,1,0,0,102,4,0,0.35,0.25,12,60,FALSE,FALSE,0,0,1,1,0,0,22656,1000,0,,0,0,0,0,0,0,10175,2379,0,,0,0,9475,,0,0,0,7264,40,180,0,710,24,0,0,56416,8403,0,0,35057,3841,0,0,,,0,0,3,0,,0,0,22,0,0,0,680,535,65,62,39,22,,,0,0,26,0,355,0,1115,0,0,1207,Actual count,0,TRUE,,,5,0,5,26,0,0,0,0,0,0,5,26,0,0,0,0,0,0,350,0,350,Actual count,2,Wi-Fi extends outside building (left on 24/7),529,Actual count,4.14,0.34,Coastline,Koha,40,14,0,0,0,52,728,620,Actual count,865,865,,,No,No,No,2,100,0,16,0,0,0,0,0,0,13,0,155,ME,LD,SO,TRUE,OTH,https://agnesscommunitylibrary.weebly.com/
OR0106,2022,Albany Public Library,2450 14th Ave SE,Albany,97322,2450 14th Ave SE,Albany,97322,Linn,541-917-7581,NONE,1,1,0,35601,3275,9.5,9.5,9.81,457,2930,TRUE,TRUE,15,5,0,0,2968236,0,0,4800,,,0,253404,0,0,0,0,1258482,965830,103220,,23242,0,743924,Administration; Facilities; Human Resources; Information Technology; Legal; Finance; other,0,0,0,138650,6717,7588,292,13428,746,930,166,56416,8403,1793,695,35057,3841,195,195,,,0,0,3778,4023,,8,1,22,0,1149,5628,130101,18565,21948,2812,141091,16362,0,,0,0,45203,11540,0,618,0,102,14182,8899,Estimate,186,TRUE,,,179,14224,51,6097,72,761,8,56,0,0,131,20377,6,211,0,0,2,320,,,9210,Actual count,33,Wi-Fi extends outside building (left on through evening hours after library closes),n/a,N/A (we don't track Wi-Fi usage),200,200,Linn Libraries Consortium,Evergreen,103000,35,11,8,0,52,1784,88139,Actual count,49170,49170,,2001,No,No,No,3,80,51.8,67.39,34.54,42.23,25.46,35.77,19.49,27.47,16.05,20.16,57199,NO,CI,MO,TRUE,PL1,www.library.cityofalbany.net
OR9010,2022,Aloha Community Library,"17455 SW Farmington Rd, Suite 26a",Aloha,97007,17455 SW Farmington Rd Ste 26a,Aloha,97007,Washington,503-259-0185,WCCLS,1,0,0,8704,1143,4,4,4.55,20,1804,FALSE,FALSE,6,3,3,0,0,547623,0,3690,0,,0,95128,0,0,56000,0,349559,69743,18997,,0,6372,175984,,0,0,0,22959,1907,426,50,3983,387,102,82,0,0,129861,36035,0,0,73701,14132,,,28865,2841,1474,10263,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Korean; Russian; Somali; Swahili; Tagalog; Thai, Lao; Ukrainian; Vietnamese",16,1,22,0,228,6599,37416,29644,3345,4342,35964,34356,388,454,19,15,,41756,40931,94,110030,239,1745,1239,Actual count,3,TRUE,,,0,0,2,260,0,0,1,81,1,328,0,0,9,1080,66,292,27,226,30,1955,1843,Actual count,7,Wi-Fi extends outside building (left on through evening hours after library closes),1930,Actual count,94.37,93.3,WCCLS,Polaris,41825,33,4,5,0,52,1584,29463,Actual count,11308,11308,,2016,No,No,No,0,140,28,30,23,30,19,21,16,18,14.75,15.5,21528,ME,NP,SO,TRUE,PL2,https://alohalibrary.org/
OR0002,2022,Amity Public Library,307 S Trade St,Amity,97101,PO Box 470,Amity,97101,Yamhill,503-835-8181,CCRLS,1,0,0,645,45,0,0.18,0.18,7,109,TRUE,FALSE,0,0,2,0,865,0,9675,1205,0,,0,0,0,0,0,0,13400,973,520,,0,190,110,,0,0,0,12288,250,191,2,1021,18,12,0,56416,0,0,0,0,0,0,0,,,0,0,49,0,,0,0,22,0,0,0,2271,2076,206,138,1326,1192,42,33,0,0,0,0,1424,0,1424,0,942,25,Actual count,0,TRUE,,,0,0,0,0,0,0,0,0,5,196,1,30,4,166,0,0,0,0,8,45,192,Actual count,4,Wi-Fi only available inside during open hours,3,Estimate,14.17,14.13,CCRLS,SirsiDynix,0,10,0,4,0,52,708,2080,Estimate,960,960,,,Yes,Yes,Yes,0,60,14,14.5,,,13,13.5,,,,,1809,ME,CI,SO,TRUE,PL1,https://www.cityofamityoregon.org/library
OR0013,2022,Arlington Public Library,500 W 1st St,Arlington,97812,PO Box 339,Arlington,97812,Gilliam,541-705-2555,NONE,1,0,0,198,20,0,0.7,0.5,7,105,TRUE,FALSE,0,2,0,1,34500,27996,0,0,0,,0,775,0,0,0,1165,34145,7774,3765,,596,0,12771,,0,0,2679,10467,471,609,0,71,3,26,0,56416,8403,0,0,35057,3841,0,0,,,0,0,19,0,German,0,0,22,0,0,0,919,158,183,39,837,172,0,0,2,1,223,0,796,0,154,0,0,0,N/A (we do not track reference transactions),5,TRUE,,,26,178,8,94,0,0,0,0,3,27,0,0,10,94,0,0,0,0,0,0,192,Actual count,6,Wi-Fi extends outside building (left on through evening hours after library closes),325,Estimate,50.3,49.97,Sage,Evergreen,40,26,0,0,0,52,1352,2177,Actual count,2016,2016,,2009,No,No,No,0,,19.5,19.5,,,,,13.5,15,,,650,ME,CI,SO,TRUE,PL1,https://arlington.ploud.net/about-us
OR0023,2022,Astoria Public Library,450 10th St,Astoria,97103,450 10th St,Astoria,97103,Clatsop,503-325-7323,NONE,1,0,0,3357,1226,1,1,4.5,3,41,TRUE,TRUE,4,3,0,2,630225,0,0,4668,5720,,445146,2701,824500,0,0,0,296317,142707,33550,,5590,8000,44931,Facilities; Information Technology,0,0,0,37159,1274,971,145,2238,70,13,0,56416,8403,0,0,35057,3841,0,0,,,0,0,315,2743,,4,2,22,0,47,5712,6151,407,642,28,7133,367,7,1,0,0,6479,0,1094,0,1823,24,3130,0,N/A (we do not track reference transactions),6,TRUE,,,11,401,3,78,5,23,3,68,3,325,19,400,9,558,30,198,17,177,280,532,3959,Actual count,16,Wi-Fi extends outside building (only available during open hours),3060,Estimate,5,3,North Coast Library Cooperative,SirsiDynix,38000,36,0,4,0,52,1996,,N/A (we do not track library visits),10564,10564,,1957,Yes,No,No,0,70,37.91,46.08,0,0,0,0,20.28,24.66,12.75,14.5,10197,NO,CI,SO,TRUE,PL1,http://www.astorialibrary.org
OR0035,2022,Athena Public Library,418 E Main St,Athena,97813,PO Box 450,Athena,97813,Umatilla,541-566-2470,UCSLD,1,0,0,627,98,0,1,0.15,5,30,TRUE,FALSE,0,1,1,0,33000,0,58129,1000,0,,0,18063,0,0,0,0,49199,36673,5500,,0,1156,19189,,0,0,0,13046,464,226,0,851,41,68,8,56416,8403,0,0,35057,3841,0,0,,,0,0,5,0,,0,0,22,0,20,0,1933,504,453,256,2058,625,15,0,416,138,2216,2143,849,0,884,0,0,260,Estimate,24,TRUE,,,41,163,42,205,30,195,14,40,3,540,114,745,16,398,0,0,0,0,10,50,795,Actual count,17,Wi-Fi extends outside building (left on through evening hours after library closes),n/a,N/A (we don't track Wi-Fi usage),140.9,95.4,Sage,Evergreen,1040,28,2,0,0,52,30,7783,Actual count,3600,3600,,2005,No,No,No,as charged by other library / OCLC cost,,23.8,27.59,0,0,0,0,0,0,13,13,1670,ME,CI,SO,TRUE,PL2,www.athenalibrary.weebly.com
OR0046,2022,Baker County Library District,2400 Resort St,Baker City,97814,2400 Resort St,Baker City,97814,Baker,541-523-6419,NONE,1,5,1,7700,527,2.95,2.95,12.25,70,2193,TRUE,TRUE,7,3,17,5,0,0,1284356,8094,0,,6949,324263,0,0,0,0,580013,282938,69849,,20552,19809,324263,,0,0,0,115581,3812,6190,121,13086,797,406,19,56416,8403,429,429,35057,3841,488,488,,,0,0,1211,0,Chinese (including Mandarin & Cantonese); Japanese; Vietnamese,16,1,22,0,323,40607,31903,8827,2399,781,23019,5667,457,9,16447,1442,15075,577,7700,0,5860,53,0,0,N/A (we do not track reference transactions),526,TRUE,,,126,1054,29,137,12,102,1,17,0,0,1,17,1,0,1,5,206,3751,9,84,7232,Actual count,76,Wi-Fi extends outside building (left on 24/7),12648,Estimate,92.13,92.62,Sage,Evergreen,20916,40,9,10,0,52,2956,81061,Actual count,18253,26879,,2000,Yes,Yes,Yes,as charged by other library / OCLC cost,90,33.18,40.73,17.89,22.83,15.46,19.73,13.35,17.89,12.72,14.72,16860,ME,LD,MO,TRUE,CO1,www.bakerlib.org
OR0058,2022,Bandon Public Library,1204 11th St SW,Bandon,97411,1204 11th St SW,Bandon,97411,Coos,541-347-3221,CCLSD,1,0,0,,,1,1,3.25,9,676,TRUE,TRUE,3,2,0,0,0,0,419631,1000,0,,0,27872,0,0,0,0,158265,106955,26540,,341,0,48052,,0,0,0,38093,1815,7295,86,7162,303,103,2,56416,8403,12921,1131,35057,3841,4911,103,,,60,0,145,160,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Russian; Thai, Lao; other",5,1,22,0,52,336,38285,23341,3067,1806,6636,3220,406,286,0,0,9879,2315,16375,722,21175,375,29839,0,N/A (we do not track reference transactions),59,TRUE,,,0,0,0,0,0,0,3,60,0,0,3,60,1,7,0,0,0,0,33,618,840,Actual count,22,Wi-Fi extends outside building (left on 24/7),32829,Actual count,96.9,92.1,Coastline,Koha,8204,21,3,3,0,26,825,15866,Actual count,14440,14440,,2004,No,No,No,0,100,,,,,,,13.78,18.88,,,7263,ME,CI,SO,TRUE,PL2,https://www.cityofbandon.org/general/page/library
